Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type
5 Marla Luxury Villa For Sale In K Block On Main Boulevard Citi Housing,2.5 Crore,25000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_luxury_villa_for_sale_in_k_block_on_main_boulevard_citi_housing-44991394-8433-1.html,Jhelum,House
Aristo Arabian Villa For Sale,1.74 Crore,17400000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_aristo_arabian_villa_for_sale-53860954-8433-1.html,Jhelum,House
Prime 7 Marla House For Sale In Citi Housing Jhelum Investor's Dream Opportunity!,2.5 Crore,25000000.0,7.0 Marla,7.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_prime_7_marla_house_for_sale_in_citi_housing_jhelum_investor_s_dream_opportunity-52281547-8433-1.html,Jhelum,House
A Dram House For Waiting For You 5 Marla Beautiful Fabulous Outstanding Level Spanish House Available For Sale,2.15 Crore,21500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_a_dram_house_for_waiting_for_you_5_marla_beautiful_fabulous_outstanding_level_spanish_house_available_for_sale-54090404-8433-1.html,Jhelum,House
Citi Housing Jhelum The Designers Beautiful Ultra Modern Home Available At Citi Housing Most Popular And Famous And Favourite Block,6.95 Crore,69500000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_citi_housing_jhelum_the_designers_beautiful_ultra_modern_home_available_at_citi_housing_most_popular_and_famous_and_favourite_block-54268679-8433-1.html,Jhelum,House
House On Installments,1.85 Crore,18500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_on_installments-54520022-8433-1.html,Jhelum,House
5 Marla House On Easy Installments,1.75 Crore,17500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_on_easy_installments-53286188-8433-1.html,Jhelum,House
House Is Available For Sale,7.0 Crore,70000000.0,1.0 Kanal,20.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_is_available_for_sale-54520040-8433-1.html,Jhelum,House
House On Installments,1.85 Crore,18500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_house_on_installments-54520025-8433-1.html,Jhelum,House
5 Marla House On Easy Installments For Sale,1.85 Crore,18500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/jhelum_citi_housing_scheme_5_marla_house_on_easy_installments_for_sale-54272747-8433-1.html,Jhelum,House
