Title,Price_Raw,Price_PKR,Size_Raw,Size_Marla,Listing_URL,City,Property_Type,Bedrooms,Bathrooms,Location,Price_per_Marla,Area,Area_Grouped
Prime Location In Citi Housing Society House For sale Sized 10 Marla,4.9 Crore,49000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_prime_location_in_citi_housing_society_house_for_sale_sized_10_marla-54527790-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4900000.0,Citi Housing Society,Citi Housing Society
Get In Touch Now To Buy A Prime Location House In Citi Housing Society Citi Housing Society,2.35 Crore,23500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_get_in_touch_now_to_buy_a_prime_location_house_in_citi_housing_society_citi_housing_society-54527794-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",4700000.0,Citi Housing Society,Citi Housing Society
Highly-Coveted Prime Location 5 Marla House Is Available In Citi Housing Society For Sale,1.75 Crore,17500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_highly-coveted_prime_location_5_marla_house_is_available_in_citi_housing_society_for_sale-54606631-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",3500000.0,Citi Housing Society,Citi Housing Society
Want To Buy A Prime Location House In Citi Housing Society?,2.25 Crore,22500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_want_to_buy_a_prime_location_house_in_citi_housing_society-54463131-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",4500000.0,Citi Housing Society,Citi Housing Society
Prime Location 10 Marla House For Sale Available In Citi Housing Society,3.8 Crore,38000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_prime_location_10_marla_house_for_sale_available_in_citi_housing_society-54527792-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",3800000.0,Citi Housing Society,Citi Housing Society
Ready To sale A Prime Location House 5 Marla In Citi Housing Society,2.6 Crore,26000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_ready_to_sale_a_prime_location_house_5_marla_in_citi_housing_society-54527796-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",5200000.0,Citi Housing Society,Citi Housing Society
Ideal Corner House In Citi Housing Society Available For Rs. 57500000,5.75 Crore,57500000.0,11.0 Marla,11.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_ideal_corner_house_in_citi_housing_society_available_for_rs_57500000-54527800-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",5227272.7272727275,Citi Housing Society,Citi Housing Society
On Excellent Location In Citi Housing Society 1237 Square Feet House For sale,2.6 Crore,26000000.0,5.5 Marla,5.5,https://www.zameen.com/Property/gujranwala_citi_housing_society_on_excellent_location_in_citi_housing_society_1237_square_feet_house_for_sale-54583520-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",4727272.7272727275,Citi Housing Society,Citi Housing Society
5 Marla Royal Palm Facing Park Brand New House,2.05 Crore,20500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/royal_palm_city_royal_palm_city_-_block_g_5_marla_royal_palm_facing_park_brand_new_house-54564452-17216-1.html,Gujranwala,House,3.0,4.0,"Eminabad More, Gujranwala, Punjab",4100000.0,Eminabad More,Eminabad More
"A Beautifully Designed 5 Marla House Is Available For Sale At A Prime Location. This House Offers A Perfect Combination Of Comfort, Modern Design, And A Peaceful Environment.",2.75 Crore,27500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/gujranwala_citi_housing_society_a_beautifully_designed_5_marla_house_is_available_for_sale_at_a_prime_location_this_house_offers_a_perfect_combination_of_comfort_modern_design_and_a_peaceful_environment-53907618-3083-1.html,Gujranwala,House,4.0,4.0,"Citi Housing Society, Gujranwala, Punjab",5500000.0,Citi Housing Society,Citi Housing Society
"10-Marla Villa in Sector A1 , DHA Gujranwala",3.5 Crore,35000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/gujranwala_dha_defence_10-marla_villa_in_sector_a1_dha_gujranwala-54601886-5121-1.html,Gujranwala,House,5.0,6.0,"DHA Defence, Gujranwala, Punjab",3500000.0,DHA Defence,DHA Defence
Dc Colony 10 Marla Brand New Corner House For Sell,4.75 Crore,47500000.0,10.0 Marla,10.0,https://www.zameen.com/Property/dc_colony_dc_colony_-_mehran_block_dc_colony_10_marla_brand_new_corner_house_for_sell-54561371-10116-1.html,Gujranwala,House,5.0,6.0,"DC Colony, Gujranwala, Punjab",4750000.0,DC Colony,DC Colony
DC Colony 10 Marla Brand New House For Sale In Bolan Block,4.75 Crore,47500000.0,10.0 Marla,10.0,https://www.zameen.com/Property/dc_colony_dc_colony_-_bolan_block_dc_colony_10_marla_brand_new_house_for_sale_in_bolan_block-54585834-10119-1.html,Gujranwala,House,6.0,6.0,"DC Colony, Gujranwala, Punjab",4750000.0,DC Colony,DC Colony
10 Marla Villa For Sale In Dha Gujranwala,3.5 Crore,35000000.0,10.0 Marla,10.0,https://www.zameen.com/Property/dha_sector_a_dha_sector_a_-_rachna_villas_10_marla_villa_for_sale_in_dha_gujranwala-54642151-21898-1.html,Gujranwala,House,5.0,6.0,"DHA Defence, Gujranwala, Punjab",3500000.0,DHA Defence,DHA Defence
A House Of 5 Marla In DC Colony - Sawan Block,2.6 Crore,26000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/dc_colony_dc_colony_-_sawan_block_a_house_of_5_marla_in_dc_colony_-_sawan_block-54495185-10120-1.html,Gujranwala,House,5.0,5.0,"DC Colony, Gujranwala, Punjab",5200000.0,DC Colony,DC Colony
Good Location 5 Marla House Is Available In Affordable Price In DHA Sector A - Rachna Villas,1.55 Crore,15500000.0,5.0 Marla,5.0,https://www.zameen.com/Property/dha_sector_a_dha_sector_a_-_rachna_villas_good_location_5_marla_house_is_available_in_affordable_price_in_dha_sector_a_-_rachna_villas-54501884-21898-1.html,Gujranwala,House,3.0,4.0,"DHA Defence, Gujranwala, Punjab",3100000.0,DHA Defence,DHA Defence
Ready To Buy A Good Location House In DHA Sector A - Rachna Villas Gujranwala,1.6 Crore,16000000.0,5.0 Marla,5.0,https://www.zameen.com/Property/dha_sector_a_dha_sector_a_-_rachna_villas_ready_to_buy_a_good_location_house_in_dha_sector_a_-_rachna_villas_gujranwala-54501885-21898-1.html,Gujranwala,House,3.0,4.0,"DHA Defence, Gujranwala, Punjab",3200000.0,DHA Defence,DHA Defence
Premium Good Location 5 Marla House Is Available For Sale In Gujranwala,1.56 Crore,15600000.0,5.0 Marla,5.0,https://www.zameen.com/Property/dha_sector_a_dha_sector_a_-_rachna_villas_premium_good_location_5_marla_house_is_available_for_sale_in_gujranwala-54070080-21898-1.html,Gujranwala,House,3.0,3.0,"DHA Defence, Gujranwala, Punjab",3120000.0,DHA Defence,DHA Defence
BEAUTIFUL BRAND NEW CONDITION HOUSE FOR SALE 6.60 MARLA CORNER FACING PARK FACING DANCING FOUNTAIN MAIN DOUBLE ROAD FACING FOOD STREET 5 BEDROOMS 5 WASHROOMS FOR SALE NEGOTIABLE INVESTORE RATE 80 K RENTAL VALUE A+ CONSTRUCTION QUALITY WORK,2.75 Crore,27500000.0,6.7 Marla,6.7,https://www.zameen.com/Property/gujranwala_citi_housing_society_beautiful_brand_new_condition_house_for_sale_6_60_marla_corner_facing_park_facing_dancing_fountain_main_double_road_facing_food_street_5_bedrooms_5_washrooms_for_sale_negotiable_investore_rate_80_k_rental_value_a_construction_quality_work-53679802-3083-1.html,Gujranwala,House,5.0,5.0,"Citi Housing Society, Gujranwala, Punjab",4104477.611940298,Citi Housing Society,Citi Housing Society
